Utbildning,Nivå,Grundläggande behörighet,Särskild behörighet,Andra villkor,Organisatör/Länk
Möbeltapetserare,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8516
Skräddare - inriktning dam och klänning,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8554
Stödpedagog inom funktionshinderområdet,YH,Okänd,"Hälsopedagogik, 100p; Specialpedagogik 1, 100p; Specialpedagogik 2, 100p; Svenska 2 eller Svenska som andra språk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8592
Stödpedagog inom funktionshinderområdet,YH,Okänd,"Hälsopedagogik, 100p; Specialpedagogik 1, 100p; Specialpedagogik 2, 100p; Svenska 2 eller Svenska som andra språk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8593
Tandsköterska,YH,Okänd,"Svenska 2 eller Svenska som andraspråk 2, 100p; Engelska 5, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8598
Tandsköterska,YH,Okänd,"Svenska 2 eller Svenska som andraspråk 2, 100p; Engelska 5, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8599
Tandsköterska,YH,Okänd,"Svenska 2 eller Svenska som andraspråk 2, 100p; Engelska 5, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8600
Tandsköterska,YH,Okänd,"Svenska 2 eller Svenska som andraspråk 2, 100p; Engelska 5, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8601
Tandsköterska,YH,Okänd,"Svenska 2 eller Svenska som andraspråk 2, 100p; Engelska 5, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8610
Tandsköterska,YH,Okänd,"Svenska 2 eller Svenska som andraspråk 2, 100p; Engelska 5, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8611
